time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,state,min_site_distances
2023-10-14T17:15:20.039Z,35.63616667,-96.90966667,16.06,2.91,ml,99,56.0,0.0,0.12,ok,ok2023udwa,2023-10-14T18:49:05.040Z,"7 km SSW of Chandler, Oklahoma",earthquake,,0.4,0.21,43.0,reviewed,ok,ok,OK,3.1161140713175017
2023-09-25T18:10:11.669Z,34.07033333,-97.43233333,6.31,2.51,ml,77,46.0,0.0,0.37,ok,ok2023svfh,2023-09-29T18:29:39.040Z,"10 km S of Wilson, Oklahoma",earthquake,,0.9,0.24,22.0,reviewed,ok,ok,OK,0.7513291914385208
2023-09-25T00:40:31.129Z,34.48,-97.77266667,19.89,3.68,ml,97,47.0,0.0,0.36,ok,ok2023stwr,2023-09-26T07:22:21.865Z,"9 km WNW of Velma, Oklahoma",earthquake,,0.7,0.23,32.0,reviewed,ok,ok,OK,1.1198718979731213
2023-09-22T18:51:55.609Z,35.53883333,-96.75333333,7.91,2.97,ml,100,35.0,0.1169770451,0.21,ok,ok2023spud,2023-09-22T20:57:15.933Z,"8 km NW of Prague, Oklahoma",earthquake,,0.5,0.21,24.0,reviewed,ok,ok,OK,2.395779639433051
2023-09-22T10:46:38.850Z,35.54033333,-96.7555,7.0,3.22,ml,101,35.0,0.0,0.18,ok,ok2023sped,2023-09-22T19:33:19.340Z,"8 km NW of Prague, Oklahoma",earthquake,,0.4,0.21,39.0,reviewed,ok,ok,OK,2.2674226364830856
2023-09-22T08:19:17.179Z,36.41533333,-96.87583333,7.32,2.71,ml,95,58.0,0.0,0.24,ok,ok2023sozh,2023-10-01T14:08:16.040Z,"10 km NW of Pawnee, Oklahoma",earthquake,,0.3,0.24,33.0,reviewed,ok,ok,OK,2.4120901904440246
2023-09-21T21:29:07.080Z,34.4805,-97.76816667,6.63,2.95,ml,91,47.0,0.1313742199,0.38,ok,ok2023sodv,2023-09-29T03:26:35.040Z,"8 km WNW of Velma, Oklahoma",earthquake,,0.9,0.23,28.0,reviewed,ok,ok,OK,1.2689321592426002
2023-09-21T07:24:26.789Z,34.4735,-97.76116667,18.13,2.84,ml,97,47.0,0.1403724541,0.38,ok,ok2023snbz,2023-10-13T10:50:52.040Z,"8 km W of Velma, Oklahoma",earthquake,,0.9,0.22,27.0,reviewed,ok,ok,OK,0.8711177871999278
2023-09-20T10:27:11.509Z,34.4715,-97.7675,16.95,2.94,ml,89,48.0,0.1394726307,0.4,ok,ok2023slmm,2023-10-01T12:37:05.040Z,Oklahoma,earthquake,,1.1,0.24,26.0,reviewed,ok,ok,OK,0.5712710027127359
2023-09-19T22:30:03.350Z,34.47283333,-97.775,13.92,2.71,ml,78,48.0,0.1367731604,0.44,ok,ok2023skov,2023-10-08T03:25:16.040Z,"9 km W of Velma, Oklahoma",earthquake,,1.6,0.22,24.0,reviewed,ok,ok,OK,0.32358956697414026
